"location","site","bleach_intensity","X","Y","management","habitat","average.dhw.90days","max.dhw.90days","dip.Statistic.sst","bimodality.coefficient","bimodality.ratio","n.h.spell.events_90Days","avg.high.spell.duration.90days","max.high.spell.duration.90days","avg.high.spell.rise.90days","avg.spell.peak","sd.spell.peak","avg.low.spell.duration.90dys","dhd_mmmplus1","CA1"
"Ankarea","Nosy Fisaka",39.39849624,48.59233333,-12.82580556,"no-take","slope",0.544505482,2.469999945,0.04684789,0.449451902,0.011858041,1,16,16,0.138749998,29.80249933,0.525491476,10,0,0.1515544
"Ankarea","Ankarea",33.37783712,48.57408333,-12.84527778,"no-take","slope",0.544505482,2.469999945,0.04684789,0.449451902,0.011858041,1,16,16,0.138749998,29.80249933,0.525491476,10,0,0.465003454
"Ankarea","Beangovo",28.83116883,48.49763889,-13.00277778,"no-take","slope",0.111868129,0.609999986,0.034039131,0.486466921,0.667396889,1,14,14,0.111428571,29.80461472,0.51149373,3.333333333,0,0.387363358
"Ankarea","Nosy Vasoa",34.75274725,48.63483333,-12.88338889,"restricted","slope",0.325274718,1.619999964,0.051037853,0.438097534,0.974997073,1,13,13,0.207999994,29.80636297,0.505112381,10,0,0.324442878
"Ankarea","Nosy Karabo",47.19887955,48.56208333,-12.99655556,"restricted","slope",0.638021964,2.879999936,0.046558706,0.449806337,1.043229106,1,11,11,0.10333333,29.84230702,0.531678897,3.333333333,0,0.416794133
"Ankarea","Antsoa",46,48.57791667,-12.98573611,"no-take","slope",0.668021963,2.879999936,0.046558706,0.454369705,1.023338099,1,11,11,0.10333333,29.84499933,0.533105982,3.333333333,0,0.1243759
"Ankarea","Tsarabanjina",29.70521542,48.54941667,-13.03494444,"no-take","slope",0.257362632,1.219999973,0.033256217,0.479410109,0,1,11,11,0.114,29.825416,0.52781731,3.333333333,0,0.548972634
"Ankarea","Nosy Kaina",17.43119266,48.53744444,-13.02458333,"restricted","slope",0.257362632,1.219999973,0.033256217,0.479410109,0,1,11,11,0.114,29.825416,0.52781731,3.333333333,0,0.460677046
"Ankarea","Amparimilay",39.81762918,48.56236111,-12.88619444,"restricted","slope",0.703296687,3.099999931,0.051739928,0.459315425,0.01246294,1,13,13,0.152857139,29.80319933,0.531136505,10,0,-0.012368514
"Ankarea","Ambarinidada",49.14712154,48.60691667,-12.91527778,"restricted","slope",0.285824169,1.279999971,0.048265462,0.447586335,0.973548662,1,13,13,0.151428567,29.85538395,0.558098408,10,0,-0.154353642
"Ankarea","Ratapenjika",31.28078818,48.58302778,-12.93822222,"restricted","slope",1.530329636,3.789999915,0.054817278,0.459259016,0.988013308,1,13,13,0.149999997,29.82239933,0.540665319,10,0,0.190843062
"Ankivonjy","Plateau",45.59270517,47.88247222,-13.50022222,"no-take","bank",0.516813175,2.109999953,0.051265249,0.623032584,1.086260208,2,6.5,12,0.159999997,29.746666,0.668758882,5.5,0,-0.838518024
